Zip,CurrentValue,Forecast5Yr,GrowthPct5Yr,CAGR
21013,639546.8138217287,635511.5480834483,-0.6309570544440534,-0.12651110738717275
21030,456914.9800466974,470297.9906902569,2.9289936263835528,0.5790537168643084
21051,547390.9728528002,630974.6386192804,15.26946367618614,2.8828187725591814
21052,347097.74684489984,421872.8562908348,21.542954434489054,3.979076951110505
21053,551555.7744733109,570010.6001128706,3.3459581956480196,0.6604109885004261
21057,629236.6147236518,625175.9647825542,-0.6453295701619258,-0.129400370080468
21071,498888.00000950735,517822.3877633727,3.7953183386861378,0.7477957515941158
21082,559931.9389091603,577213.6752140695,3.0863994539366506,0.6097973453264904
21087,531142.7528845537,532529.7824378199,0.261140634176666,0.05217365661474016
21093,495433.2421012607,514015.5605828105,3.7507209655002898,0.7391366723071613
21111,702885.3125764367,714681.4180556185,1.6782404281493746,0.3334173180955746
21117,382688.1739182704,375895.18814234197,-1.7750707335364848,-0.3575620322753159
21120,630679.7795006437,637490.1030964702,1.0798385832535737,0.2150408741514509
21128,435713.33267486095,448663.0307825293,2.9720683615921684,0.587470569894788
21131,736674.9079282755,715090.1561217943,-2.930024027448322,-0.5929961120231919
21133,358256.3626557922,355948.02405015245,-0.644325920278931,-0.1291985985680033
21136,402923.0534832286,401796.80353254103,-0.27951985892871106,-0.05596658190099024
21152,509424.27536239184,522106.8466839576,2.489589117547197,0.4930321804197835
21153,1048794.480876043,1042964.0066958279,-0.5559215162292738,-0.11143237012724017
21155,520830.2729774483,527555.2066706003,1.2911948559954816,0.25691546415607114
21156,525104.9552858712,570120.1705131404,8.572612917500006,1.658584424341547
21161,542731.2381116792,541146.0247308924,-0.292080733421987,-0.0584845154585234
21162,521692.33656587056,522834.8565069518,0.21900263066965264,0.04376220675339493
21204,581369.0587715238,610280.5676150278,4.9730043949356695,0.9753867916532322
21207,280933.5999594374,280701.7272519858,-0.0825364810350404,-0.01651274872398467
21208,366397.2716657935,366805.28487749497,0.11135814681328712,0.022261715476390442
21209,434643.01691143925,449152.3971557743,3.3382292317585778,0.6589053196381256
21219,376965.84180045896,375857.1847063169,-0.2941001468055827,-0.05888934763330633
21220,325902.0863897027,329085.2560778759,0.9767257778052066,0.19458640320180187
21221,288607.3081481864,285221.3549746531,-1.173204239095285,-0.23574978967451088
21222,225453.24839912483,216774.60908495518,-3.849418615963191,-0.7820195382480577
21227,299992.1806353676,304300.5187845835,1.4361501490109099,0.28559408468347147
21228,417457.3193504154,434432.1398841684,4.066240965703201,0.8003345459695055
21234,298379.91378484236,302015.50496407895,1.2184436724042256,0.2425096598738241
21236,328144.66132074763,335693.2895874849,2.300396488656814,0.4559033455741268
21237,312309.06626774604,309518.11301442183,-0.8936510510813946,-0.17937254722024676
21244,317079.32015155395,316624.87098965887,-0.14332349447383472,-0.028681146339881725
21286,391413.9356800847,408236.3799741186,4.297865446411558,0.8451657345681873
